0,1,2,3,4,5,6,7,8
3,15,17,4,3,10,22,37,-15
2,15,17,4,3,10,17,32,-15
3,14,17,4,2,11,18,29,-11
2,13,17,2,7,8,17,25,-8
0,42,17,13,3,1,40,10,30
0,39,17,12,3,2,34,15,19
0,31,17,7,10,0,30,17,13
0,30,17,8,6,3,37,20,17
1,30,17,9,3,5,25,19,6
2,29,17,8,5,4,22,15,7
0,26,17,6,8,3,21,15,6
2,24,17,7,3,7,26,25,1
1,23,17,7,2,8,22,29,-7
1,21,17,6,3,8,21,19,2
2,21,17,6,3,8,26,30,-4
3,19,17,5,4,8,16,24,-8
2,18,17,4,6,7,13,19,-6
1,17,17,4,5,8,15,25,-10
1,16,17,4,4,9,21,36,-15
2,13,17,3,4,10,14,32,-18
3,12,17,3,3,11,14,28,-14
3,9,17,2,3,12,11,30,-19
0,43,19,13,4,2,33,15,18
0,38,19,11,5,3,35,14,21
0,37,19,11,4,4,32,19,13
0,35,19,10,5,4,25,16,9
1,34,19,11,1,7,26,18,8
0,32,19,10,2,7,30,18,12
2,30,19,7,9,3,19,16,3
1,28,19,9,1,9,16,28,-12
1,27,19,8,3,8,19,18,1
2,26,19,7,5,7,18,19,-1
2,26,19,7,5,7,30,27,3
3,23,19,6,5,8,23,30,-7
1,23,19,5,8,6,20,19,1
1,22,19,5,7,7,21,24,-3
3,21,19,6,3,10,26,32,-6
2,19,19,5,4,10,17,26,-9
2,17,19,4,5,10,15,22,-7
3,16,19,3,7,9,17,30,-13
3,15,19,4,3,12,16,30,-14
3,12,19,2,6,11,13,30,-17
0,39,19,10,9,0,23,8,15
0,36,19,10,6,3,23,11,12
1,32,19,9,5,5,26,19,7
0,30,19,7,9,3,24,18,6
0,29,19,8,5,6,22,18,4
2,28,19,7,7,5,21,17,4
1,27,19,7,6,6,24,19,5
2,27,19,5,12,2,21,10,11
1,26,19,6,8,5,26,19,7
1,26,19,6,8,5,23,22,1
2,25,19,6,7,6,24,25,-1
1,24,19,5,9,5,21,20,1
0,23,19,6,5,8,19,23,-4
3,23,19,5,8,6,17,26,-9
2,19,19,4,7,8,18,25,-7
3,19,19,4,7,8,15,30,-15
3,18,19,4,6,9,16,22,-6
3,17,19,4,5,10,14,25,-11
2,16,19,2,10,7,16,23,-7
3,12,19,1,9,9,10,23,-13
0,44,19,13,5,1,30,13,17
0,32,19,7,11,1,27,14,13
0,32,19,8,8,3,17,11,6
1,32,19,10,2,7,26,21,5
1,31,19,9,4,6,19,13,6
1,31,19,9,4,6,23,18,5
0,31,19,9,4,6,21,21,0
0,30,19,8,6,5,26,15,11
2,29,19,7,8,4,18,12,6
1,26,19,8,2,9,21,30,-9
2,25,19,7,4,8,17,16,1
2,24,19,7,3,9,20,16,4
2,23,19,6,5,8,18,20,-2
1,22,19,5,7,7,13,17,-4
3,22,19,6,4,9,18,24,-6
3,21,19,5,6,8,17,23,-6
2,21,19,5,6,8,12,18,-6
3,14,19,2,8,9,11,27,-16
3,13,19,2,7,10,10,23,-13
3,11,19,1,8,10,10,22,-12
0,50,19,16,2,1,39,11,28
0,35,19,10,5,4,28,20,8
1,33,19,9,6,4,23,20,3
2,31,19,9,4,6,31,23,8
1,31,19,8,7,4,27,19,8
0,30,19,9,3,7,25,19,6
2,29,19,8,5,6,17,15,2
1,29,19,9,2,8,21,22,-1
0,25,19,6,7,6,16,16,0
0,25,19,7,4,8,20,25,-5
2,24,19,5,9,5,21,22,-1
2,24,19,6,6,7,19,22,-3
1,23,19,5,8,6,20,24,-4
3,21,19,6,3,10,16,28,-12
1,20,19,5,5,9,23,21,2
2,20,19,4,8,7,18,24,-6
3,17,19,3,8,8,16,23,-7
3,17,19,3,8,8,20,28,-8
3,16,19,3,7,9,15,21,-6
3,13,19,2,7,10,22,34,-12
0,39,19,12,3,4,38,16,22
0,35,19,9,8,2,25,11,14
0,33,19,9,6,4,27,23,4
2,31,19,9,4,6,23,19,4
1,30,19,9,3,7,26,26,0
2,29,19,8,5,6,23,17,6
1,29,19,7,8,4,19,14,5
1,27,19,6,9,4,20,19,1
2,25,19,7,4,8,22,19,3
0,25,19,7,4,8,20,20,0
0,25,19,6,7,6,20,20,0
3,25,19,6,7,6,19,21,-2
1,25,19,7,4,8,18,23,-5
1,24,19,5,9,5,20,19,1
3,24,19,6,6,7,18,20,-2
2,23,19,7,2,10,17,26,-9
3,22,19,5,7,7,16,20,-4
3,20,19,5,5,9,17,23,-6
2,16,19,3,7,9,15,25,-10
3,7,19,1,4,14,9,31,-22
0,38,19,11,5,3,23,12,11
0,35,19,10,5,4,31,19,12
1,34,19,8,10,1,24,13,11
1,33,19,10,3,6,24,17,7
0,32,19,8,8,3,33,24,9
0,32,19,8,8,3,28,19,9
0,31,19,8,7,4,19,15,4
1,30,19,8,6,5,23,19,4
1,26,19,7,5,7,25,23,2
2,25,19,6,7,6,18,17,1
2,25,19,6,7,6,13,17,-4
3,24,19,7,3,9,25,28,-3
3,23,19,5,8,6,23,21,2
2,23,19,6,5,8,22,23,-1
